Name                Silent_corruption	Data_loss	Inaccessible	Read-only	Partial_read_failure	Documented_failures     FSCK-only    Repo_corruption Dirstate_corruption    chmod   reflog  			
BerkeleyDB-BTREE    0                   2           2               0           1                       1                       0            0               0                      0       0                 
BerkeleyDB-Hash	    0                   3           2               0           0                       0                       0            0               0                      0       0                
LevelDB-1.10	    6                   3           0               0           0                       0                       0            0               0                      0       0                
LevelDB-1.15		4                   0           0               0           0                       0                       0            0               0                      0       0                    
LMDB			    0                   0           0               1           0                       0                       0            0               0                      0       0                
GDBM			    0                   2           5               0           0                       0                       0            0               0                      0       0                
HSqlDB			    2                   3           5               0           0                       0                       0            0               0                      0       0                
SQLite-Rollback	    0                   1           0               0           0                       0                       0            0               0                      0       0                
VMWare			    0                   0           1               0           0                       0                       0            0               0                      0       0                
Postgres		    0                   0           0               0           0                       1                       0            0               0                      0       0                
Git		            1                   0           0               0           0                       0                       2            5               0                      0       1       
Mercurial           0                   0           0               0           0                       0                       0            10              7                      0       0         
HDFS		        0                   0           2               0           0                       0                       0            0               0                      1       0            
